

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
03/18/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-232,34504.64,
03/18/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-264,34736.64,
03/18/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-1965.82,35000.64,
03/18/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-2035.2,36966.46,
03/18/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-2139.2,39001.66,
03/18/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-4217.86,41140.86,
03/17/2025,"DIRECT DEBIT VENMO PAYMENT (Cash)", ,"No Description",Cash,,0.000,,,,-24,45358.72,
03/17/2025,"TRANSFERRED TO VS 249-729024-1 CURRENT CONTRIBUTION (Cash)", ,"No Description",Cash,,0.000,,,,-8000,45382.72,
03/13/2025,"DIRECT DEBIT SoFi Bank PMT0001202 (Cash)", ,"No Description",Cash,,0.000,,,,-1763.67,53382.72,
03/13/2025,"DIRECT DEPOSIT 100-SFDC INCPAYROLL (Cash)", ,"No Description",Cash,,0.000,,,,6281.73,55146.39,
03/12/2025,"DIRECT DEBIT NSM DBAMR.COOPNSM DBAMR (Cash)", ,"No Description",Cash,,0.000,,,,-4533.83,48864.66,
03/12/2025,"DIRECT DEPOSIT OurFamilyWizOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,20.65,53398.49,
03/11/2025,"DIRECT DEBIT STATE FARM RO SFPP (Cash)", ,"No Description",Cash,,0.000,,,,-90,53377.84,
03/11/2025,"Check Paid # 1012 (Cash)",,"No Description",Cash,,0.000,,,,-302.5,53467.84,
03/10/2025,"DIRECT DEBIT SAMMAMISH FORESammamish (Cash)", ,"No Description",Cash,,0.000,,,,-573,53770.34,
03/10/2025,"DIRECT DEPOSIT OurFamilyWizOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,20.65,54343.34,
03/10/2025,"DIRECT DEPOSIT OurFamilyWizOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,26.23,54322.69,
03/06/2025,"DIRECT DEBIT PRUDENTIAL INS PREM (Cash)", ,"No Description",Cash,,0.000,,,,-184.19,54296.46,
03/06/2025,"DIRECT DEBIT 4 Corners FinaVENDOR PMT (Cash)", ,"No Description",Cash,,0.000,,,,-2755,54480.65,
03/06/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-10469.12,57235.65,
03/06/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-10961.96,67704.77,
03/06/2025,"DIRECT DEBIT CHASE CREDIT CEPAY (Cash)", ,"No Description",Cash,,0.000,,,,-13487.47,78666.73,
03/05/2025,"DIRECT DEPOSIT Apartments.cAPTS Smoth (Cash)", ,"No Description",Cash,,0.000,,,,1995,92154.20,
03/05/2025,"DIRECT DEPOSIT MSPBNA ACH TRNSFR (Cash)", ,"No Description",Cash,,0.000,,,,77000,90159.20,
03/04/2025,"DIRECT DEBIT MSPBNA BANK ACCTVERIFY (Cash)", ,"No Description",Cash,,0.000,,,,-0.43,13159.20,
03/04/2025,"DIRECT DEBIT CHASE CREDIT CAUTOPAY (Cash)", ,"No Description",Cash,,0.000,,,,-439.7,13159.63,
03/04/2025,"DIRECT DEBIT CHASE CREDIT CAUTOPAY (Cash)", ,"No Description",Cash,,0.000,,,,-500,13599.33,
03/04/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-1000,14099.33,
03/04/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-1894.45,15099.33,
03/04/2025,"DIRECT DEPOSIT MSPBNA BANK ACCTVERIFY (Cash)", ,"No Description",Cash,,0.000,,,,0.09,16993.78,
03/04/2025,"DIRECT DEPOSIT MSPBNA BANK ACCTVERIFY (Cash)", ,"No Description",Cash,,0.000,,,,0.34,16993.69,
03/04/2025,"DIRECT DEPOSIT ELAN CARDSVCRedemption (Cash)", ,"No Description",Cash,,0.000,,,,95.49,16993.35,
03/03/2025,"DEBIT CARD PURCHASE Google FI 72w2SW 650-2530000 CA03012524204291W010RL (Cash)",,"No Description",Cash,,0.000,,,,-98.23,16897.86,
03/03/2025,"DIRECT DEBIT SAMMPLAT BILL PAY (Cash)", ,"No Description",Cash,,0.000,,,,-150.5,16996.09,
03/03/2025,"DEBIT CARD PURCHASE APPLE CASH SENT MONEY 1INFINITELOOP CA02282524055231W7GX0G (Cash)",,"No Description",Cash,,0.000,,,,-181.08,17146.59,
03/03/2025,"DIRECT DEBIT APPLECARD GSBAPAYMENT (Cash)", ,"No Description",Cash,,0.000,,,,-556.78,17327.67,
03/03/2025,"DIRECT DEBIT NSM DBAMR.COOPNSM DBAMR (Cash)", ,"No Description",Cash,,0.000,,,,-1601.39,17884.45,
03/03/2025,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,2500,19485.84,
02/28/2025,"INTEREST EARNED FDIC INSURED DEPOSIT AT CITIBANK NOT... (QPCTQ) (Cash)",QPCTQ,"FDIC INSURED DEPOSIT AT CITIBANK NOT CO",Cash,,0.000,,,,23.11,16985.84,
02/28/2025,"DEBIT CARD PURCHASE JIMMY JOHNS - 1984 SAMMAMISH WA02252524269791S01072 (Cash)",,"No Description",Cash,,0.000,,,,-7.7,16962.73,
02/28/2025,"DEBIT CARD PURCHASE MOD PIZZA SAMMAMISH SAMMAMISH WA02262524692161T33Y16 (Cash)",,"No Description",Cash,,0.000,,,,-28.19,16970.43,
02/28/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-3105,16998.62,
02/27/2025,"DEBIT CARD PURCHASE POS5824 QFC #5824 SAMMAMISH WA02252524251311TF6JVN (Cash)",,"No Description",Cash,,0.000,,,,-51.02,20103.62,
02/27/2025,"DIRECT DEPOSIT MPB US INC MPB (Cash)", ,"No Description",Cash,,0.000,,,,2600,20154.64,
02/27/2025,"DIRECT DEPOSIT 100-SFDC INCPAYROLL (Cash)", ,"No Description",Cash,,0.000,,,,5869.27,17554.64,
02/21/2025,"DIRECT DEBIT BK OF AMER VISONLINE PMT (Cash)", ,"No Description",Cash,,0.000,,,,-4.23,11685.37,
02/20/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-57,11689.60,
02/18/2025,"DEBIT CARD PURCHASE PAYPAL *FANDANGO 866-857-5191 CA02142524036381D2283M (Cash)",,"No Description",Cash,,0.000,,,,-2.19,11746.60,
02/13/2025,"DIRECT DEBIT SoFi Bank PMT0001202 (Cash)", ,"No Description",Cash,,0.000,,,,-1763.67,11748.79,
02/13/2025,"DIRECT DEPOSIT 100-SFDC INCPAYROLL (Cash)", ,"No Description",Cash,,0.000,,,,5143.12,13512.46,
02/12/2025,"DIRECT DEBIT ALLSTATE INS CINS PREM (Cash)", ,"No Description",Cash,,0.000,,,,-1704.52,8369.34,
02/11/2025,"DIRECT DEBIT STATE FARM RO SFPP (Cash)", ,"No Description",Cash,,0.000,,,,-90,10073.86,
02/10/2025,"DIRECT DEBIT VENMO PAYMENT (Cash)", ,"No Description",Cash,,0.000,,,,-25,10163.86,
02/10/2025,"DEBIT CARD PURCHASE APPLE CASH SENT MONEY 1INFINITELOOP CA0207252405523176WX3Y (Cash)",,"No Description",Cash,,0.000,,,,-45,10188.86,
02/10/2025,"DIRECT DEBIT SAMMAMISH FORESammamish (Cash)", ,"No Description",Cash,,0.000,,,,-573,10233.86,
02/10/2025,"DIRECT DEBIT 4 Corners FinaVENDOR PMT (Cash)", ,"No Description",Cash,,0.000,,,,-3362.5,10806.86,
02/10/2025,"DIRECT DEBIT FLAGSTAR BANK LOAN PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-4533.83,14169.36,
02/10/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-5000,18703.19,
02/07/2025,"DEBIT CARD PURCHASE APPLE CASH SENT MONEY 1INFINITELOOP CA0205252405523156V0WQ (Cash)",,"No Description",Cash,,0.000,,,,-173.32,23703.19,
02/07/2025,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,9000,23876.51,
02/06/2025,"DIRECT DEBIT PRUDENTIAL INS PREM (Cash)", ,"No Description",Cash,,0.000,,,,-184.19,14876.51,
02/05/2025,"DIRECT DEPOSIT Apartments.cAPTS Smoth (Cash)", ,"No Description",Cash,,0.000,,,,1995,15060.70,
02/04/2025,"DIRECT DEBIT CHASE CREDIT CAUTOPAY (Cash)", ,"No Description",Cash,,0.000,,,,-904.65,13065.70,
02/04/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-1000,13970.35,
02/04/2025,"DIRECT DEBIT CHASE CREDIT CAUTOPAY (Cash)", ,"No Description",Cash,,0.000,,,,-1000,14970.35,
02/04/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-1894.45,15970.35,
02/03/2025,"DIRECT DEBIT APPLECARD GSBAPAYMENT (Cash)", ,"No Description",Cash,,0.000,,,,-904.65,17864.80,
02/03/2025,"DIRECT DEBIT NSM DBAMR.COOPNSM DBAMR (Cash)", ,"No Description",Cash,,0.000,,,,-1601.39,18769.45,
02/03/2025,"DIRECT DEPOSIT ELAN CARDSVCRedemption (Cash)", ,"No Description",Cash,,0.000,,,,112.81,20370.84,
01/31/2025,"INTEREST EARNED FDIC INSURED DEPOSIT AT CITIBANK NOT... (QPCTQ) (Cash)",QPCTQ,"FDIC INSURED DEPOSIT AT CITIBANK NOT CO",Cash,,0.000,,,,44.96,20258.03,
01/31/2025,"DEBIT CARD PURCHASE Google FI 3VP6QS 650-2530000 CA01292524204290X01F3P (Cash)",,"No Description",Cash,,0.000,,,,-98.23,20213.07,
01/31/2025,"DIRECT DEBIT SAMMPLAT BILL PAY (Cash)", ,"No Description",Cash,,0.000,,,,-143.06,20311.30,
01/31/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-3105,20454.36,
01/30/2025,"DIRECT DEPOSIT CONNECTYOURCOPTUMCLAIM (Cash)", ,"No Description",Cash,,0.000,,,,504.2,23559.36,
01/30/2025,"DIRECT DEPOSIT 100-SFDC INCPAYROLL (Cash)", ,"No Description",Cash,,0.000,,,,5918.85,23055.16,
01/28/2025,"DIRECT DEPOSIT OurFamilyWizOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,5,17136.31,
01/28/2025,"DIRECT DEPOSIT OurFamilyWizOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,20.65,17131.31,
01/27/2025,"DIRECT DEBIT VENMO PAYMENT (Cash)", ,"No Description",Cash,,0.000,,,,-25,17110.66,
01/27/2025,"DEBIT CARD PURCHASE APPLE CASH SENT MONEY 1INFINITELOOP CA01232524055230R6EPRR (Cash)",,"No Description",Cash,,0.000,,,,-171.73,17135.66,
01/22/2025,"DIRECT DEBIT REPUBLICSERVICRSIBILLPAY (Cash)", ,"No Description",Cash,,0.000,,,,-6.51,17307.39,
01/21/2025,"DIRECT DEBIT BK OF AMER VISONLINE PMT (Cash)", ,"No Description",Cash,,0.000,,,,-4.23,17313.90,
01/21/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-1529.56,17318.13,
01/17/2025,"DIRECT DEPOSIT OurFamilyWizOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,92.65,18847.69,
01/16/2025,"Check Paid # 1011 (Cash)",,"No Description",Cash,,0.000,,,,-360,18755.04,
01/15/2025,"DIRECT DEBIT VENMO PAYMENT (Cash)", ,"No Description",Cash,,0.000,,,,-618,19115.04,
01/14/2025,"DIRECT DEBIT SoFi Bank PMT0001202 (Cash)", ,"No Description",Cash,,0.000,,,,-1763.67,19733.04,
01/13/2025,"DIRECT DEPOSIT salesforce.cEDI PYMNTS (Cash)", ,"No Description",Cash,,0.000,,,,297.1,21496.71,
01/10/2025,"DEBIT CARD PURCHASE APPLE CASH SENT MONEY 1INFINITELOOP CA01082524055230960WTW (Cash)",,"No Description",Cash,,0.000,,,,-165.26,21199.61,
01/10/2025,"DIRECT DEBIT SAMMAMISH FORESammamish (Cash)", ,"No Description",Cash,,0.000,,,,-573,21364.87,
01/10/2025,"DIRECT DEBIT FLAGSTAR BANK LOAN PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-4533.83,21937.87,
01/09/2025,"DIRECT DEBIT STATE FARM RO SFPP (Cash)", ,"No Description",Cash,,0.000,,,,-90,26471.70,
01/08/2025,"DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash)", ,"No Description",Cash,,0.000,,,,-5000,26561.70,
01/07/2025,"DIRECT DEPOSIT Apartments.cAPTS Smoth (Cash)", ,"No Description",Cash,,0.000,,,,1995,31561.70,
01/06/2025,"DIRECT DEBIT VENMO PAYMENT (Cash)", ,"No Description",Cash,,0.000,,,,-80,29566.70,
01/06/2025,"DIRECT DEBIT PRUDENTIAL INS PREM (Cash)", ,"No Description",Cash,,0.000,,,,-184.19,29646.70,
01/06/2025,"DIRECT DEBIT CHASE CREDIT CAUTOPAY (Cash)", ,"No Description",Cash,,0.000,,,,-1000,29830.89,
01/06/2025,"DIRECT DEBIT CHASE CREDIT CAUTOPAY (Cash)", ,"No Description",Cash,,0.000,,,,-3115.92,30830.89,
01/03/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-1000,33946.81,
01/03/2025,"DIRECT DEBIT NSM DBAMR.COOPNSM DBAMR (Cash)", ,"No Description",Cash,,0.000,,,,-1601.39,34946.81,
01/03/2025,"DIRECT DEBIT OurFamilyWizarOurFamilyW (Cash)", ,"No Description",Cash,,0.000,,,,-1894.45,36548.20,
01/03/2025,"DIRECT DEPOSIT ELAN CARDSVCRedemption (Cash)", ,"No Description",Cash,,0.000,,,,30.59,38442.65,
01/02/2025,"DIRECT DEBIT SAMMPLAT BILL PAY (Cash)", ,"No Description",Cash,,0.000,,,,-144.98,38412.06,
01/02/2025,"DIRECT DEBIT APPLECARD GSBAPAYMENT (Cash)", ,"No Description",Cash,,0.000,,,,-885.63,38557.04,
01/02/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-3105,39442.67,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 02/27/2026 9:49 pm
